,key,value,name
0,Ingredients,"Dried Prunes,Water,Corn Syrup,Sugar,Pectin.",Simon Fischer Fruit Bttr Prune Lekvar
1,Ingredients,"Salt,Sugar,Molasses (Refinery Syrup, Molasses, Caramel Color),Spices (Including Black Pepper),Garlic Onion,Tapioca Maltodextrin,Bacon Fat and Cooked Bacon (Cured with Water, Salt, Sodium Erythorbate, Sodium Nitrate),Silicon Dioxide (To Make Free Flowing),Autolyzed Yeast,Sunflower Oil,Corn Maltodextrin,Vinegar,Extractives of Paprika,and Natural Flavor (Including Smoke)",McCORMICK GRILL MATES MOLASSES BACON SEASONING 1 x 77g JAR AMERICAN IMPORT
2,Ingredients,"Salt, Yellow 5 Lake, Tricalcium Phosphate And Artificial Butter Flavor",Jolly Time Popcorn
4,Ingredients,FALSE,Fla-Vor-Ice Plus Giant Pops
8,Ingredients,"Rolled Oats,Brown Rice Syrup,Evaporated Cane Juice,Brown Rice Crisp (Brown Rice, Brown Rice Syrup, Salt),Water,Non-GMO Canola Oil,Oat Bran,Oat Syrup Solids,Chia Seeds,Chicory Root Fiber,Honey,Orange Granules,Natural Flavors,Natural Vitamin E.",BACK TO NATURE CEREAL ORANGE CRUNCH GRAN
15,Ingredients,"Garlic Powder. 1/4 teaspoon garlic powder = 1 medium garlic clove,Since 1873","Tone's Garlic Powder, 2.88 Oz"
16,Ingredients,"Sugar,Corn Syrup,Gelatin,Citric Acid,Lactic Acid,Fumaric Acid,Maltodextrin,Confectioner's Glaze,Acacia (Gum Arabic),Natural and Artificial Flavors,Calcium Lactate,Sodium Lactate,Titanium Dioxide [Color],Carnauba Wax (Adds a Trivial Amount of Fat),Beeswax (Adds a Trivial Amount of Fat),Red 40,Yellow 5,Yellow 6,Blue 1,Sodium Citrate.","Trolli Sour Brite Eggs, 4.0 Ounce Bags, (pack of 12)"
20,Ingredients,Cumin Ground,Ground Cumin
22,Ingredients,Garlic Powder,"Spice Islands: Powder Garlic, 2.25 Oz"
24,Ingredients,"Garlic,Water,Citric Acid,Sodium Benzoate.","Iberia Minced Garlic In Water, 1 Qt"
26,Ingredients,Chopped Oregano.,Whole Oregano
27,Ingredients,"Contains: Turmeric,Fenugreek,Coriander,Mustard Flour,Cumin,Gingerroot,Black Pepper,Allspice,Cayenne and Fennel.",M&b Curry
28,Ingredients,"Whole Oysters,Water,Salt.",Whole Oysters
29,Ingredients,"Salt,Sugar,Spices,Including Paprika,Tumeric,Onion,Corn Starch,Garlic,Tricalcium Phosphate (Prevents Caking),Paprika Oleoresin (For Color),And Natural Flavor.",Seasoned Salt
30,Ingredients,"Non Pareil Capers,Water,Salt and Vinegar.",Bellino Nonpareil Cape Roasted 3-ounce Ja Roasted (pack of 12)
33,Ingredients,"Sour Cherry Juice,Sugar.",Sour Cherry Syrup
34,Ingredients,"Organic Wild Berries (Organic Blackberries, Organic Strawberries, Organic Bilberries, Organic Raspberries),Organic Apple Juice Concentrate,Natural Fruit Pectin,Ascorbic Acid.",Bionaturae Organic Wild Berry Fruit Spread 9 Oz
36,Ingredients,"Salt,Cornstarch,Monosodium Glutamate,Sugar,Partially Hydrogenated Palm Oil,Garlic Powder,Onion Powder,and Less than 2 of Dehydrated Chicken**,Turmeric Spices,Chicken Fat**,Disodium Inosinate,Natural Flavor. **Adds Trivial Amounts of Cholesterol.","Maggi Chicken Flavor Bouillon, 3.5 Oz"
37,Ingredients,"Water*,Orange Peel**,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Yellow #6*. *Not In Regular Preserves. **Adds A Trivial Amount of Sugar.","Polaner Sugar Free Orange Marmalade, 13.5 Oz"
39,Ingredients,"Organic Potato Starch,Organic Corn Syrup Solids,Organic Natural Flavors (Organic Turkey and Chicken Flavors,Sea Salt,Organic Gum Arabic),Organic Rice Flour,Sea Salt,Organic Carrot,Organic Onion,Silicon Dioxide,Malt Extract,Organic Sage,Organic",Roasted Turkey Gravy
41,Ingredients,"Sea Salt, Organic Garlic, Organic Onion, Organic Black Pepper, Organic Oregano, Organic Bay, Organic Turmeric.,Sea Salt,Organic Garlic,Organic Onion,Organic Black Pepper,Organic Oregano,Organic Bay,Organic Turmeric.",Simply Organic Seasoning
44,Ingredients,"Aromatic And Bitingly Pungent,Coriander Is An Ancient Seasoning Whose Culinary Roots Travel Deep Into Remote Times. We Grind Our Own Coriander Seed To Ensure Delightful Bouquet And Distinctive Flavor. Ground Coriander Is Traditional In South American,Indian,Mediterranean And African Cuisines,Particularly Curries,Meat,And Seafood Dishes. Add To Stews And Marinades For Authentic Mediterranean Flavor.","Spice Islands: Ground Coriander Spice, 1.7 Oz"
45,Ingredients,"Water*,Blackberries+,Maltodextrin* (Dietary Fiber),Polydextrose*,Fruit Pectin,Locust Bean Gum*,Citric Acid,Natural Flavor*,Sucrolose* (Splenda Brand),Potassium Sorbate And Sodium Benzoate (to Preserve Freshness),Calcium Chloride*,Red #40 And Blue #1*. *Not In Regular Preserves. +Adds A Trivial Amount of Sugar.","Polaner Blackberry Seedless Sugar Free Preserves With Fiber, 13.5 Oz"
50,Ingredients,"Oregano,Marjoram,Savory,Thyme,Basil,Rosemary,Sage. Aromatic blend of basil,oregano,rosemary,thyme and other herbs,Perfect compliment to Italian dishes and tomato-based sauces",Italian Herb Seasoning
51,Ingredients,Natural Sesame Seed.,Natural Sesame Seeds
52,Ingredients,"Strawberries*,Apple Juice*,Wild Strawberries*,Pectin. *From organic farming.","Fiordifrutta Organic Fruit Spread Strawberries & Wild Strawberries, 8.82 Oz"
53,Ingredients,100 Natural Scottish-Style Porridge Oats.,Old Wessex Ltd. - Scottish-style Porridge Oats - 18.5 Oz.
55,Ingredients,Organic Texmati Rice.,Organic White
57,Ingredients,"100% Corn Flour,Water. This Product Is Produced In A Gluten-Free Facility.","Sam Mills Pasta D'oro Penne Rigate 100% Corn Pasta, 16 Oz"
59,Ingredients,"Salt,Spices (Including Coriander, Black Pepper, Paprika, And Thyme),Garlic,Sugar,Onion,Orange Peel,Citric Acid,Corn Maltodextrin,Gum Arabic,Valencia Orange Peel,Beer (Malted Barley, Corn Syrup, Hops, Yeast),And Natural Flavors.",McCormick Belgian Style White Ale Seasoning (Pack of 2) 2.37 oz Bottles
60,Ingredients,Whole Black Pepper.,"Orale Whole Black Pepper, 1 Oz"
61,Ingredients,"Juice Concentrates (Pear, Grape),Maltodextrin (Dietary Fiber),Raspberries,Fruit Pectin,Natural Flavor,Citric Acid.","Polaner All Fruit Raspberry Fruit Spread With Fiber, 10 Oz"
64,Ingredients,"Chili Peppers,Granulated Onion,Spices,Salt,Granulated Garlic.",Chilli Man�� Seasoning Mix 1.25 Oz. Pouch
65,Ingredients,"Blackberries,Sugar,Cane Sugar,Concentrated Lemon Juice,Fruit Pectin.","Bonne Maman Blackberry Preserves, 13 Oz (pack of 6)"
66,Ingredients,Hulled Pumpkin Seed.,Hulled Pumpkin Seed
67,Ingredients,"Arbol Chili,Sulfites. Resealable bag,Arbol chili,sulfites","Badia Arbol Chili Peppers, 6 Oz"
68,Ingredients,"Water,Beets,Salt,Citric Acid,Sodium Saccharin (22mg per serving),.",Manischewitz Borscht 24oz Pack of 12
69,Ingredients,Cinnamon Ground,Ground Cinnamon
70,Ingredients,Toasted Seaweed Sheets.,Sushi Chef Nori (toasted Seaweed Sheets) ull Sheets Boxes
71,Ingredients,Pequin Chili Pods,"Orale Chile Pequin Entero Chili Pods, .25 Oz"
72,Ingredients,"Quinoa,Dehydrated Vegetables (Carrot, Red And Green Bell Peppers, Tomato, Celery),Salt,Cane Sugar,Yeast Extract,Garlic Powder,Onion Powder,Potato Starch,Spices,Turmeric,And Less Than 2% Sunflower Oil And Rice Concentrate Added to Prevent Caking.","Nature's Earthly Choice Garden Vegetable Easy Quinoa, 4.8 Oz"
73,Ingredients,Celery Salt,"Tone's: Celery Salt, 1.2 Oz"
74,Ingredients,100 Real Salt.,"Redmond Real Salt Nature's First Sea Salt Fine, 10.0 Oz"
76,Ingredients,"Grape (Juice And Concentrated Juice),Sugar,Cane Sugar Concentrated Lemon Juice,Fruit Pectin.","Bonne Maman Muscat Grape Jelly, 13 Oz"
77,Ingredients,"Chili Pepper and Other Spices,Salt and Garlic Powder","Tone's: Powder Mild Chili, .65 Oz"
